KD ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,
Nelspruit,3.46,3.2,3.29,3.19,3.18,4.63,51.79,5.01,4.1,3.08,3.05,2.43,6.77,2.48,2.91,2.37,2.39,,0,,0,,0,,,,,,,,,,,,,
Durban,3.64,3.73,4.4,3.61,3.6,4.48,75.21,4.71,4.01,3.57,4.03,3.35,4.66,3.35,3.76,3.3,3.28,,0,,1,,0,,,,,,,,,,,,,
Mthatha,6.81,6.44,7.18,6.46,6.46,6.47,10.42,6.8,7.14,6.56,6.91,6.4,7.72,6.31,6.2,6.44,6.35,,0,,-1,,1,,,,,,,,,,,,,
George,2.68,3.35,3.69,3.04,3.02,4.69,5.65,5.09,3.84,2.64,2.68,2.16,4.75,2.18,2.99,2.04,2.1,,0,,0,,0,,,,,,,,,,,,,
Stellenboch,3.99,3.81,4.12,3.18,3.16,4.15,5.32,4.64,4.25,3.24,3.39,2.92,4.4,2.89,3.24,2.76,2.66,,1,,0,,0,,,,,,,,,,,,,
Cape Point,5.15,5.59,5.49,5.65,5.65,4.9,5.21,5.22,6.47,6.43,6.44,6.43,6.23,6.41,5.6,6.41,6.01,,2,,0,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.83,5.07,4.87,4.48,4.47,5.32,14.88,5.73,5.16,4.42,4.57,4.11,6.4,4.11,4.31,4.04,4.04,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland
Alexandra Bay,0.06,-0.74,-0.81,-0.29,-0.28,-1.2,-2.36,-1.72,-0.91,-0.1,-0.29,0.12,-1.02,0.09,-0.23,0.16,0.13,,0.06,0.74,0.81,0.29,0.28,1.2,2.36,1.72,0.91,0.1,0.29,0.12,1.02,0.09,0.23,0.16,0.13,0
