DHI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.66,6.20,5.62,6.45,6.41,8.02,11.54,10.03,7.37,5.91,5.99,4.55,15.98,4.55,4.94,4.40,4.49,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,
Alexandra Bay,0.997,0.995,0.994,0.993,0.993,0.987,0.974,0.98,0.989,0.996,0.996,0.998,0.974,0.997,0.996,0.998,0.997,,,,,,,,,,,,,,,,,,
Upington,0.993,0.995,0.994,0.991,0.991,0.987,0.976,0.981,0.989,0.991,0.991,0.994,0.962,0.994,0.994,0.995,0.995,,,,,,,,,,,,,,,,,,
De Aar,0.982,0.982,0.996,0.993,0.993,0.989,0.977,0.983,0.991,0.995,0.994,0.997,0.966,0.997,0.997,0.997,0.997,,,,,,,,,,,,,,,,,,
Bethlehem,0.996,0.985,0.997,0.995,0.995,0.991,0.982,0.986,0.993,0.997,0.996,0.999,0.969,0.999,0.998,0.999,0.999,,,,,,,,,,,,,,,,,,
Mahikeng,0.996,0.995,0.996,0.994,0.994,0.99,0.979,0.984,0.992,0.995,0.995,0.998,0.949,0.998,0.997,0.998,0.998,,,,,,,,,,,,,,,,,,
Irene,0.993,0.993,0.994,0.994,0.994,0.993,0.985,0.989,0.993,0.994,0.994,0.994,0.948,0.994,0.995,0.995,0.994,,,,,,,,,,,,,,,,,,
Pretoria,0.994,0.993,0.996,0.994,0.994,0.991,0.979,0.984,0.993,0.995,0.995,0.998,0.948,0.998,0.997,0.998,0.998,,,,,,,,,,,,,,,,,,
Thohoyandou,0.998,0.998,0.997,0.996,0.996,0.993,0.985,0.989,0.995,0.996,0.997,0.999,0.959,0.999,0.998,0.999,0.999,,,,,,,,,,,,,,,,,,
Nelspruit,0.998,0.998,0.997,0.995,0.995,0.99,0.981,0.985,0.993,0.996,0.996,0.999,0.945,0.999,0.998,0.999,0.999,,,,,,,,,,,,,,,,,,
Durban,0.998,0.998,0.996,0.996,0.996,0.993,0.985,0.989,0.994,0.997,0.997,0.998,0.978,0.998,0.997,0.999,0.998,,,,,,,,,,,,,,,,,,
Mthatha,0.996,0.996,0.995,0.994,0.994,0.993,0.983,0.988,0.993,0.994,0.994,0.996,0.967,0.996,0.996,0.996,0.995,,,,,,,,,,,,,,,,,,
George,0.998,0.996,0.996,0.995,0.995,0.989,0.979,0.984,0.992,0.997,0.997,0.999,0.972,0.999,0.998,0.999,0.999,,,,,,,,,,,,,,,,,,
Stellenboch,0.996,0.996,0.995,0.994,0.995,0.991,0.982,0.986,0.992,0.996,0.996,0.997,0.975,0.997,0.997,0.998,0.998,,,,,,,,,,,,,,,,,,
Cape Point,0.997,0.996,0.996,0.996,0.996,0.997,0.991,0.994,0.995,0.994,0.994,0.993,0.991,0.994,0.996,0.993,0.994,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.9951,0.9940,0.9956,0.9943,0.9944,0.9910,0.9813,0.9859,0.9924,0.9952,0.9951,0.9971,0.9645,0.9971,0.9967,0.9974,0.9971,,,,,,,,,,,,,,,,,,
