DNI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,
George,85.86,86.67,88.28,91.57,86.77,78.5,91.01,86.27,100.6,91.53,138.39,105.53,118.04,118.09,118.36,121.24,131.5,,,,,,,,
Stellenboch,82.79,82.51,84.2,88.31,81.14,86.66,105.39,84.68,96.6,97.49,121.91,109.46,120.37,120.56,122.55,114.82,137.97,,,,,,,,
Cape Point,101.95,106.96,109.11,114.71,103.3,109.56,119.53,105.35,111.32,111.78,144.32,119.44,123.54,123.49,123.15,130.38,129.8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,96,99,100,107,103,103,112,102,111,109,142,118,126,126,127,127,138,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
rRMSE,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,National-Site,,National-Climate,,Climate-Site ,,Dirindex-National
Alexandra Bay,10.52,10.21,11.04,11.3,11.1,11.92,13.76,10.6,12.32,13.66,13.46,14.9,15.88,15.92,16.62,13.62,18.01,,1,,1,,0,,0
Upington,11.5,12.65,13.27,15.29,12.59,16.27,18.23,13.63,13.54,16.69,16.76,17.88,17.61,17.63,17.98,16.56,18.7,,2,,1,,1,,-1
De Aar,12.67,12.67,13.09,14.13,15.08,14.44,13.62,13.72,13.75,15.29,16.39,15.16,16.34,16.35,16.82,15.53,17.53,,0,,0,,0,,2
Bethlehem,21.19,23.68,22.18,23.25,21.65,21.1,23.33,20.94,22.78,22.92,30.3,24.9,26.33,26.33,26.03,26.88,28.83,,1,,-2,,2,,-1
Mahikeng,17.77,18.72,19.25,21.38,19.48,21.02,23.2,19.55,20.75,21.02,26.49,22.95,23.45,23.45,23.18,23.93,25.27,,1,,1,,1,,0
Irene,17.11,17.16,17.28,18.6,22.27,17.9,18.8,18.58,19.63,18.85,24.46,19.31,20.9,20.9,20.65,21.53,22.84,,0,,0,,0,,5
Pretoria,15.04,15.14,15.01,16.26,16.92,15.55,17.99,17.18,18.36,17.29,22.26,18.31,20.04,20.06,20.18,19.74,22.45,,0,,0,,0,,2
Thohoyandou,16.55,16.95,17.21,17.46,16.34,14.87,17.24,17.67,19.92,17.37,27.49,19.2,21.75,21.75,21.51,22.78,24.55,,1,,0,,0,,-1
Nelspruit,22.34,22.95,23.44,25.25,22.13,30.89,24.46,23.87,26.36,23.18,35.27,25.59,26.77,26.76,26.25,29.27,28.5,,1,,0,,1,,-1
Durban,18.62,19.31,20.79,21.45,20.31,18.74,20.27,21.94,22.87,20.27,32.77,22.06,24.88,24.87,24.54,26.38,26.06,,2,,1,,1,,0
Mthata,16.44,16.8,16.45,16.69,16.95,14.64,18.17,16.2,19.39,17.19,23.43,19.17,20.27,20.29,20.3,20.61,23.01,,0,,0,,0,,1
George,16.81,16.97,17.28,17.93,16.99,15.37,17.82,16.89,19.69,17.92,27.09,20.66,23.11,23.12,23.17,23.74,25.74,,0,,0,,0,,0
Stellenboch,13.21,13.16,13.43,14.09,12.94,13.82,16.81,13.51,15.41,15.55,19.45,17.46,19.2,19.23,19.55,18.32,22.01,,0,,0,,0,,0
Cape Point,18.89,19.81,20.21,21.25,19.13,20.29,22.14,19.51,20.62,20.71,26.73,22.12,22.88,22.88,22.81,24.15,24.04,,1,,0,,1,,-1
,,,,,,,,,,,,,,,,,,,,,,,,,
,16,17,17,18,17,18,19,17,19,18,24,20,21,21,21,22,23,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
R2,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,National-Site,,National-Climate,,Climate-Site ,,Dirindex-National
Alexandra Bay,0.927,0.931,0.92,0.915,0.918,0.906,0.874,0.925,0.899,0.876,0.88,0.853,0.833,0.832,0.817,0.877,0.785,,-0.01,,-0.01,,0.00,,0.00
Upington,0.91,0.896,0.88,0.85,0.9,0.83,0.78,0.88,0.88,0.82,0.82,0.79,0.8,0.8,0.79,0.82,0.77,,-0.03,,-0.02,,-0.01,,0.02
De Aar,0.92,0.921,0.916,0.9,0.89,0.9,0.91,0.91,0.91,0.88,0.87,0.89,0.87,0.87,0.86,0.88,0.85,,0.00,,-0.01,,0.00,,-0.03
Bethlehem,0.877,0.846,0.86,0.851,0.871,0.878,0.85,0.879,0.857,0.856,0.748,0.83,0.809,0.809,0.814,0.801,0.772,,-0.02,,0.01,,-0.03,,0.01
Mahikeng,0.896,0.885,0.878,0.85,0.876,0.855,0.823,0.875,0.859,0.855,0.77,0.827,0.82,0.82,0.824,0.812,0.791,,-0.02,,-0.01,,-0.01,,0.00
Irene,0.87,0.871,0.87,0.85,0.78,0.86,0.84,0.85,0.83,0.84,0.74,0.84,0.81,0.81,0.81,0.8,0.77,,0.00,,0.00,,0.00,,-0.09
Pretoria,0.93,0.933,0.935,0.92,0.92,0.93,0.91,0.91,0.9,0.91,0.86,0.9,0.88,0.88,0.88,0.89,0.85,,0.01,,0.00,,0.00,,-0.02
Thohoyandou,0.941,0.939,0.937,0.935,0.943,0.953,0.936,0.933,0.915,0.935,0.838,0.921,0.899,0.899,0.901,0.889,0.871,,0.00,,0.00,,0.00,,0.01
Nelspruit,0.933,0.93,0.93,0.914,0.934,0.871,0.919,0.923,0.906,0.927,0.832,0.912,0.903,0.903,0.907,0.884,0.89,,0.00,,0.00,,0.00,,0.00
Durban,0.92,0.913,0.899,0.89,0.9,0.92,0.9,0.89,0.88,0.9,0.75,0.89,0.86,0.86,0.86,0.84,0.84,,-0.02,,-0.01,,-0.01,,0.00
Mthatha,0.885,0.88,0.885,0.881,0.878,0.909,0.859,0.888,0.84,0.874,0.766,0.843,0.825,0.825,0.824,0.819,0.775,,0.00,,0.01,,-0.01,,-0.01
George,0.95,0.948,0.95,0.94,0.95,0.96,0.94,0.95,0.93,0.94,0.87,0.92,0.9,0.9,0.9,0.9,0.88,,0.00,,0.00,,0.00,,0.00
Stellenboch,0.945,0.945,0.943,0.937,0.947,0.939,0.91,0.942,0.925,0.923,0.88,0.903,0.883,0.883,0.879,0.894,0.847,,0.00,,0.00,,0.00,,0.00
Cape Point,0.94,0.93,0.931,0.92,0.94,0.93,0.92,0.94,0.93,0.93,0.88,0.92,0.91,0.91,0.91,0.9,0.9,,-0.01,,0.00,,-0.01,,0.01
,,,,,,,,,,,,,,,,,,,,,,,,,
,0.917,0.912,0.910,0.897,0.903,0.903,0.884,0.907,0.890,0.890,0.822,0.874,0.857,0.857,0.855,0.858,0.828,,,,,,,,
