KD ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,kd_Site,kd_Climate,kd_National,kd_erbs,kd_erbsD,kd_ohm,kd_louche,kd_boland,kd_disc,kd_dirint,kd_dirindex,kd_Engerer2,kd_Engerer3,kd_Engerer4,kd_Yang5,kd_Yang4,kd_Nested,,kd_Site,kd_Climate,kd_National,kd_erbs,kd_erbsD,kd_ohm,kd_louche,kd_boland,kd_disc,kd_dirint,kd_dirindex,kd_Engerer2,kd_Engerer3,kd_Engerer4,kd_Yang5,kd_Yang4,kd_Nested
George,0.04,0.04,0.04,0.08,0.08,0.09,0.04,0.1,0.05,0.04,0.05,0.07,0.04,0.08,0.04,0.04,0.06,,,,,,,,,,,,,,,,,,
Stellenboch,0.03,0.05,0.05,0.08,0.08,0.09,0.05,0.1,0.05,0.04,0.04,0.08,0.04,0.09,0.05,0.05,0.06,,,,,,,,,,,,,,,,,,
Cape Point,0.05,0.04,0.04,0.06,0.06,0.07,0.04,0.05,0.05,0.07,0.05,0.06,0.04,0.06,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.046,0.044,0.046,0.072,0.072,0.081,0.041,0.087,0.059,0.053,0.053,0.071,0.04,0.078,0.049,0.051,0.057,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rMAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,kd_Site,kd_Climate,kd_National,kd_erbs,kd_erbsD,kd_ohm,kd_louche,kd_boland,kd_disc,kd_dirint,kd_dirindex,kd_Engerer2,kd_Engerer3,kd_Engerer4,kd_Yang5,kd_Yang4,kd_Nested,,,,,,,,,,,,,,,,,,
Alexandra Bay,28.37,24.55,35.74,60.75,61.15,69.25,30.81,76.43,40.37,32.92,35.67,55.83,26.95,67.35,34.12,34.14,47,,,,,,,,,,,,,,,,,,
Upington,36.08,41.46,56.13,75.24,75.51,85.85,37.98,73.84,63.99,69.71,42.82,87.21,40.55,83.38,62.1,70.44,58.1,,,,,,,,,,,,,,,,,,
De Aar,33.26,33.26,47.32,86.84,87.11,97.94,45.16,85.23,60.66,68.23,31.94,81.11,49.63,88.71,54.36,63.22,56.42,,,,,,,,,,,,,,,,,,
Bethlehem,46.44,33.23,35.93,58.29,58.53,64.76,37.52,67.32,47.43,46.23,49.95,55.02,39.11,62.53,38.14,40.96,48.39,,,,,,,,,,,,,,,,,,
Mahikeng,33.63,38.9,37.33,48.02,48.23,54.87,28.21,53.98,49.53,45.48,48.71,54.45,29.11,54.25,40.37,42.99,40.05,,,,,,,,,,,,,,,,,,
Irene,35.92,34.19,33.05,35.82,36.01,41.79,24.57,43.69,40.2,35.61,26.66,44.45,26.57,39.26,35.95,37.85,28.78,,,,,,,,,,,,,,,,,,
Pretoria,26.95,26.05,24.64,40.82,41.1,47.48,25.2,54.67,43.54,37.2,28.15,38.64,26.29,44.93,25.81,26.26,33.13,,,,,,,,,,,,,,,,,,
Thohoyandou,24.1,25.3,23.08,30.86,31.12,35.89,20.71,44.17,30.68,25.51,23.67,30.11,24.68,33.72,22.52,22.67,22.96,,,,,,,,,,,,,,,,,,
Nelspruit,31.06,32.04,27.38,42.08,42.44,49.12,23.01,59.35,39.96,32.95,57.6,43.99,22.06,47.77,28.98,30.72,37.52,,,,,,,,,,,,,,,,,,
Durban,36.83,28.58,20.84,39.52,39.85,47.51,24.33,58,28.65,19.72,48.26,34.92,19.9,40.35,20.29,19.14,32.09,,,,,,,,,,,,,,,,,,
Mthatha,38.4,48.82,38.69,66.37,66.81,75.19,40.79,88.89,46.02,37.75,46.51,62.74,32.52,73.92,37.94,39.97,62.98,,,,,,,,,,,,,,,,,,
George,33.54,30.71,30.77,58.37,58.74,65.95,33.39,74.92,34.61,30.38,39.47,52.12,28.48,62.09,31.53,33.11,43.91,,,,,,,,,,,,,,,,,,
Stellenboch,24.15,37.97,39.16,67.7,68.14,76.66,38.05,86.66,43.69,35.34,33.34,63.07,30.77,73.06,38.81,39.56,52.44,,,,,,,,,,,,,,,,,,
Cape Point,35.3,30.87,31.59,42.64,42.71,48.3,29.97,37.7,37.43,47.35,32.08,40.08,26.62,45.39,33.13,35.27,36.27,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,33,35,55,55,62,32,67,44,40,39,54,31,59,36,39,43,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
