DNI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland
Stellenboch,7.72,7.73,8.6,6.48,6.43,10.9,13.54,11.96,6.99,4.15,4.29,3.85,8.21,3.88,6.91,3.47,4.08,,,,,,,,,,,,,,,,,,
Cape Point,7.66,7.51,7.44,7.78,7.78,6.17,8.59,7.72,10.65,10.3,10.38,10.32,9.32,10.16,7.66,10.54,9.42,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,10,9,7,7,12,15,13,9,5,6,4,12,4,7,4,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rMAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,National-Site,,National-Climate,,Climate-Site ,,Dirindex-National,,,,,,,,,,
Alexandra Bay,252,431.89,470.5,368.74,365.83,593.05,741.45,661.47,422.08,234.33,246.4,208.94,461,215.83,376.38,187.76,215.72,,1,,1,,-1,,0,,,,,,,,,,
Upington,301.44,202.84,232.79,236.13,234.27,385.17,478.6,426.2,265.56,173.06,181.34,119.02,349.82,122.03,196.88,115.38,146.65,,2,,1,,1,,-1,,,,,,,,,,
De Aar,521.75,521.75,302.23,275.68,273.45,441.66,566.7,501.61,331.75,196.54,214.13,140.14,409.94,143.2,241.18,130.79,151,,1,,1,,0,,0,,,,,,,,,,
Bethlehem,345.2,594.42,274.85,287.82,285.44,523.39,641.19,565.14,367.15,188.83,193.06,117.35,451.37,125.17,235.8,111.49,148.84,,-1,,-1,,1,,1,,,,,,,,,,
Mahikeng,495.24,522.03,402.93,426.5,422.8,728.11,915.38,808.61,538.94,312.63,318.33,172.91,814.9,184.19,336.41,150.94,210.44,,2,,0,,1,,1,,,,,,,,,,
Irene,117.85,121.02,100.63,85.71,85.58,101.19,124.93,111.24,89.37,78.46,86.83,77.77,136.62,77.74,87.4,78.37,80.11,,0,,0,,0,,3,,,,,,,,,,
Pretoria,266.06,339.51,262.68,206.72,205.13,328.06,424.93,372.21,229.07,146.36,155.96,123.36,373.63,122,202.95,114.09,130.03,,0,,0,,0,,1,,,,,,,,,,
Thohoyandou,258.57,296.61,313.51,249.68,247.91,451.08,538.34,475.48,275.28,185.44,184.26,139.6,448.25,142.12,264.99,124.94,162.08,,0,,0,,0,,-1,,,,,,,,,,
Nelspruit,554.45,544.81,652.95,642.62,637.23,1176.85,1425.04,1263.08,809.79,455.25,445.75,259.31,1292.49,284.57,566.6,227.5,320.93,,1,,0,,1,,-1,,,,,,,,,,
Durban,166.28,200.94,297.36,209.96,208.49,370.73,459.57,399.46,204.05,133.02,136.29,128.92,303.84,128.64,247.07,119.16,146.02,,1,,1,,0,,0,,,,,,,,,,
Mthatha,98.96,85.57,109.86,80.66,80.41,94.25,132.88,113.09,105.89,83.24,89.95,79.94,115.62,75.98,89,79.99,79.94,,0,,-1,,1,,1,,,,,,,,,,
George,389.27,527.07,581.18,487.58,483.37,911.72,1106.29,979.44,532.67,278.55,277.03,218.86,710.42,229.92,480.07,189.64,257.13,,1,,1,,0,,-1,,,,,,,,,,
Stellenboch,353.03,353.85,393.51,296.57,294.36,498.67,619.69,547.45,319.79,189.7,196.23,176.21,375.61,177.38,316.09,158.66,186.84,,1,,0,,1,,0,,,,,,,,,,
