DHI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland
Nelspruit,31.122,31.946,26.897,38.729,39.045,44.441,20.157,53.508,42.235,32.514,51.822,41.624,20.88,45.39,27.477,28.494,33.18,,,,,,,,,,,,,,,,,,
Durban,42.929,33.86,24.482,41.172,41.517,48.468,24.299,60.15,36.036,21.69,54.149,37.976,21.566,43.905,22.881,20.852,32.699,,,,,,,,,,,,,,,,,,
Mthatha,31.952,41.67,32.959,50.467,50.805,56.173,29.709,66.633,43.643,32.835,40.668,48.812,24.943,58.167,30.973,30.974,47.361,,,,,,,,,,,,,,,,,,
George,28.78,26.34,27.99,48.949,49.248,54.802,25.354,60.247,33.811,26.43,35.088,43.978,23.266,53.69,27.567,27.232,34.619,,,,,,,,,,,,,,,,,,
Stellenboch,19.911,32.791,35.782,54.612,54.959,61.161,28.318,67.599,43.002,30.676,27.9,52.477,24.832,60.977,34.025,32.803,40.504,,,,,,,,,,,,,,,,,,
Cape Point,32.545,25.077,25.795,40.489,40.546,46.42,23.088,31.242,33.369,39.909,26.775,36.489,21.785,41.805,27.519,29.176,26.358,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,30,31,46,47,52,26,53,43,36,35,45,26,51,31,32,35,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rMAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,
Alexandra Bay,28.935,26.239,41.372,64.822,65.221,73.061,29.882,77.65,50.569,37.052,41.231,59.451,28.174,73.86,37.768,35.304,47.474,,,,,,,,,,,,,,,,,,
Upington,36.086,41.861,60.038,89.909,90.137,101.537,43.267,78.865,75.844,73.256,38.13,90.158,47.467,96.869,64.873,68.934,59.968,,,,,,,,,,,,,,,,,,
De Aar,34.16,34.16,52.75,97.58,97.78,109.29,48.36,84.98,78.07,81.46,35.58,84.89,55.82,99.05,58.65,63.97,56.89,,,,,,,,,,,,,,,,,,
Bethlehem,49.93,35.15,39.11,60.96,61.15,66.74,38.83,66.72,56.02,52.67,53.4,56.22,42.12,65.51,41.02,42.46,47.88,,,,,,,,,,,,,,,,,,
Mahikeng,36.108,41.329,38.819,51.986,52.188,58.875,28.495,54.707,59.636,50.351,53.433,54.764,30.854,58.92,40.687,41.2,39.571,,,,,,,,,,,,,,,,,,
Irene,38.853,37.15,35.5,37.776,37.942,43.341,25.288,42.628,48.989,41.983,27.644,46.717,28.533,42.309,38,39.402,29.48,,,,,,,,,,,,,,,,,,
Pretoria,29.839,29.465,27.526,41.194,41.459,47.229,24.404,52.86,53.515,44.236,30.064,40.494,27.73,46.75,28.019,27.911,31.914,,,,,,,,,,,,,,,,,,
Thohoyandou,26.902,28.394,25.046,31.381,31.634,35.771,20.586,43.75,36.058,26.357,25.268,32.155,25.644,35.717,23.952,23.994,22.545,,,,,,,,,,,,,,,,,,
Nelspruit,34.458,35.37,29.779,42.88,43.23,49.204,22.317,59.243,46.762,35.999,57.376,46.085,23.118,50.255,30.422,31.548,36.736,,,,,,,,,,,,,,,,,,
Durban,40.498,31.942,23.096,38.841,39.166,45.723,22.923,56.744,33.995,20.462,51.082,35.825,20.345,41.419,21.585,19.672,30.847,,,,,,,,,,,,,,,,,,
Mthata,44.068,57.472,45.457,69.605,70.071,77.474,40.975,91.9,60.192,45.286,56.089,67.322,34.401,80.224,42.718,42.719,65.321,,,,,,,,,,,,,,,,,,
George,36.119,33.058,35.128,61.432,61.807,68.777,31.819,75.611,42.433,33.17,44.036,55.193,29.2,67.382,34.597,34.176,43.448,,,,,,,,,,,,,,,,,,
Stellenboch,25.144,41.411,45.187,68.965,69.403,77.235,35.76,85.365,54.304,38.738,35.232,66.269,31.358,77.002,42.967,41.424,51.151,,,,,,,,,,,,,,,,,,
Cape Point,40.575,31.265,32.159,50.48,50.551,57.875,28.785,38.952,41.604,49.758,33.382,45.493,27.16,52.121,34.31,36.375,32.861,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,36,38,58,58,65,32,65,53,45,42,56,32,63,39,39,43,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,
Alexandra Bay,28.861,27.176,41.825,56.979,57.265,63.844,28.648,65.168,55.388,39.908,43.388,52.411,29.563,64.566,36.879,33.225,42.169,,,,,,,,,,,,,,,,,,
Upington,29.385,33.165,46.988,66.25,66.348,74.213,34.588,55.554,61.298,57.743,33.074,64.069,36.402,69.046,48.84,50.683,44.792,,,,,,,,,,,,,,,,,,
De Aar,44.76,44.76,53.05,75.15,75.21,82.11,50.09,64.14,71.94,73.26,48.83,65.93,52.54,74.39,54.43,55.97,51.77,,,,,,,,,,,,,,,,,,
Bethlehem,61.71,60.83,58.22,68.13,68.23,71.55,62.17,73.33,71.1,67.61,67.14,65.43,64.36,70.55,60.05,60.27,62.44,,,,,,,,,,,,,,,,,,
