DNI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rMAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,
Alexandra Bay,5.42,4.74,6.57,10.11,10.16,11.28,5.8,12.2,7.22,5.76,6.25,9.39,5.21,11.08,6.3,6.27,8.12,,,,,,,,,,,,,,,,,,
Upington,3.84,4.5,5.95,8.9,8.91,9.84,6.06,8,6.87,7.02,4.36,8.86,5.75,9.39,6.56,7.15,6.56,,,,,,,,,,,,,,,,,,
De Aar,3.28,3.28,4.56,8.77,8.8,10.01,4.15,8.4,6.22,6.92,3.4,7.96,4.74,8.97,5.19,6,5.16,,,,,,,,,,,,,,,,,,
Bethlehem,7.51,6.11,5.99,10.07,10.1,11,7.15,11.41,8.05,7.63,8.23,8.78,7.5,10.58,6.39,6.69,8.06,,,,,,,,,,,,,,,,,,
Mahikeng,5.22,5.88,5.98,6.89,6.89,7.37,7.32,7.04,7.69,6.71,6.49,6.98,7,7.32,6.53,6.52,6.48,,,,,,,,,,,,,,,,,,
Irene,6.76,6.52,6.43,5.94,5.95,6.75,5.67,6.69,7.94,6.95,5.94,7.52,6.15,6.29,6.8,6.97,5.28,,,,,,,,,,,,,,,,,,
Pretoria,5.72,5.46,5.13,8.29,8.34,9.47,5.08,10.7,8.84,7.66,5.94,8,5,9.12,5.31,5.4,6.84,,,,,,,,,,,,,,,,,,
Thohoyandou,4.65,4.91,4.6,5.41,5.45,6.31,4.21,7.92,6.28,5.57,4.24,5.28,5.4,5.95,4.52,4.44,4.03,,,,,,,,,,,,,,,,,,
Nelspruit,7.11,7.33,7.52,6.22,6.21,6.21,8.49,6.52,9.2,8.4,6.14,6.05,9.62,6.3,7.74,7.29,7.06,,,,,,,,,,,,,,,,,,
Durban,6.41,6.01,6.14,6.92,6.95,7.8,6.88,9.19,7.17,8.37,7.54,6.16,8.97,6.78,6.45,6.25,6.29,,,,,,,,,,,,,,,,,,
Mthatha,4.66,6.01,4.83,8.32,8.38,9.54,5.02,11.59,6.64,5.05,5.91,7.53,4.35,9.45,4.51,4.5,7.66,,,,,,,,,,,,,,,,,,
George,3.57,3.24,3.44,7.35,7.4,8.41,4.42,9.74,4.71,4.46,4.57,5.72,4.19,7.82,3.61,3.5,4.92,,,,,,,,,,,,,,,,,,
